name	size	read_group_submitter_id	checksum	checksum_type	local_path	format	type
37c1119e80ccea0d61a1f263b4c90970.IcgcOvarian_AOCS148_1DNA_7PrimaryTumour_ICGCDBPC20130205168_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam	141263639819	20130312105637575	37c1119e80ccea0d61a1f263b4c90970	md5	song://collaboratory/EGAZ00001018764/d64b282f-d157-5aff-be49-35e7886556bb	BAM	sequencing_file
37c1119e80ccea0d61a1f263b4c90970.IcgcOvarian_AOCS148_1DNA_7PrimaryTumour_ICGCDBPC20130205168_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam	141263639819	20130312011945799	37c1119e80ccea0d61a1f263b4c90970	md5	song://collaboratory/EGAZ00001018764/d64b282f-d157-5aff-be49-35e7886556bb	BAM	sequencing_file
37c1119e80ccea0d61a1f263b4c90970.IcgcOvarian_AOCS148_1DNA_7PrimaryTumour_ICGCDBPC20130205168_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam	141263639819	20130312112837963	37c1119e80ccea0d61a1f263b4c90970	md5	song://collaboratory/EGAZ00001018764/d64b282f-d157-5aff-be49-35e7886556bb	BAM	sequencing_file
37c1119e80ccea0d61a1f263b4c90970.IcgcOvarian_AOCS148_1DNA_7PrimaryTumour_ICGCDBPC20130205168_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam	141263639819	20130312101737681	37c1119e80ccea0d61a1f263b4c90970	md5	song://collaboratory/EGAZ00001018764/d64b282f-d157-5aff-be49-35e7886556bb	BAM	sequencing_file
39cc8513bcedb97a90f095b29d376597.IcgcOvarian_AOCS137_1DNA_12Ascites_ICGCDBPC20130205143_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam	115449233544	20130311112740577	39cc8513bcedb97a90f095b29d376597	md5	song://collaboratory/EGAZ00001018524/825477ba-0c2f-5f6c-a482-a9c4b947aab9	BAM	sequencing_file
39cc8513bcedb97a90f095b29d376597.IcgcOvarian_AOCS137_1DNA_12Ascites_ICGCDBPC20130205143_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam	115449233544	2013031212311426	39cc8513bcedb97a90f095b29d376597	md5	song://collaboratory/EGAZ00001018524/825477ba-0c2f-5f6c-a482-a9c4b947aab9	BAM	sequencing_file
39cc8513bcedb97a90f095b29d376597.IcgcOvarian_AOCS137_1DNA_12Ascites_ICGCDBPC20130205143_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam	115449233544	20130311101800631	39cc8513bcedb97a90f095b29d376597	md5	song://collaboratory/EGAZ00001018524/825477ba-0c2f-5f6c-a482-a9c4b947aab9	BAM	sequencing_file
39cc8513bcedb97a90f095b29d376597.IcgcOvarian_AOCS137_1DNA_12Ascites_ICGCDBPC20130205143_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam	115449233544	20130312124007932	39cc8513bcedb97a90f095b29d376597	md5	song://collaboratory/EGAZ00001018524/825477ba-0c2f-5f6c-a482-a9c4b947aab9	BAM	sequencing_file
39cc8513bcedb97a90f095b29d376597.IcgcOvarian_AOCS137_1DNA_12Ascites_ICGCDBPC20130205143_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam	115449233544	20130311105936182	39cc8513bcedb97a90f095b29d376597	md5	song://collaboratory/EGAZ00001018524/825477ba-0c2f-5f6c-a482-a9c4b947aab9	BAM	sequencing_file
39cc8513bcedb97a90f095b29d376597.IcgcOvarian_AOCS137_1DNA_12Ascites_ICGCDBPC20130205143_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam	115449233544	20130311105652119	39cc8513bcedb97a90f095b29d376597	md5	song://collaboratory/EGAZ00001018524/825477ba-0c2f-5f6c-a482-a9c4b947aab9	BAM	sequencing_file
28763c1b90c373d8e0a403074cd81b9a.IcgcOvarian_AOCS123_1DNA_7PrimaryTumour_ICGCDBPC20130607006_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam	121659630046	20131019055714774	28763c1b90c373d8e0a403074cd81b9a	md5	song://collaboratory/EGAZ00001018602/023c0aff-66c9-508f-bb49-2d8b01fe8aea	BAM	sequencing_file
28763c1b90c373d8e0a403074cd81b9a.IcgcOvarian_AOCS123_1DNA_7PrimaryTumour_ICGCDBPC20130607006_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam	121659630046	20131019022219205	28763c1b90c373d8e0a403074cd81b9a	md5	song://collaboratory/EGAZ00001018602/023c0aff-66c9-508f-bb49-2d8b01fe8aea	BAM	sequencing_file
